,street_address,city,state,zip_code,longitude,latitude,family_id
79,8083 Vega Walks,Wasilla,AK,99654,-149.456688,61.610667,dZlNcKzEWF
80,340 Thomas Islands,Eagle River,AK,99577,-149.530504,61.335171,QGiZVYcDVR
81,52572 Faulkner View Suite 839,Anchorage,AK,99504,-149.725568,61.213395,qZbEnotcGx
82,19185 Derrick Greens Suite 375,Kodiak,AK,99615,-152.43082,57.853401,KNKYLEmZnc
83,052 Scott Forest Suite 839,Kenai,AK,99611,-151.269749,60.644574,yJKyUaQFce
84,965 Christopher Shore Suite 354,Kodiak,AK,99615,-152.423668,57.887276,qaHndessZW
85,74115 Tracy Valleys,Fairbanks,AK,99701,-147.732474,64.975448,KvduRMFcpw
86,60348 Erickson Fork Suite 275,Wasilla,AK,99654,-149.466854,61.6214,JhpuWDFrFC
87,8598 Mitchell Terrace Apt. 120,Anchorage,AK,99504,-149.776263,61.255177,PYbXxyTLUw
88,72942 James Fields Suite 696,Eagle River,AK,99577,-149.549827,61.33126,pqcdupBitp
89,551 Smith Throughway,Anchorage,AK,99504,-149.778354,61.224755,hwKlmjJxMh
90,64124 Carol Circles Suite 319,Anchorage,AK,99504,-149.762968,61.247715,YtweNxsSxD
91,596 Jessica Station,Anchorage,AK,99503,-149.949084,61.237472,lyIMCoosfX
92,0304 Martin Course Suite 304,Ketchikan,AK,99901,-131.711224,55.475754,jcMQgUwcme
93,804 Kimberly Corners,Anchorage,AK,99515,-149.971481,61.157505,FjDrJOshUy
94,48943 Karina Terrace,Ketchikan,AK,99901,-131.713601,55.484919,hQJGQnRELw
95,90176 Williams Isle Apt. 535,Anchorage,AK,99503,-149.984132,61.238456,UUfMkNEacH
96,509 Jacob Mission,Fairbanks,AK,99701,-147.744764,64.925208,vXslTvKNEg
97,178 Ramirez Stravenue,Anchorage,AK,99503,-149.920787,61.225187,mnQguBBRfn
98,7600 Patricia Bridge,Wasilla,AK,99654,-149.463856,61.619502,ygZGpZUgmQ
99,48490 Foster Row,Anchorage,AK,99503,-149.976059,61.237258,inGZNCHCyW
100,0778 Jennifer Shoal Suite 210,Bessemer,AL,35022,-87.022811,33.451453,ZXnjcVPsgm
101,6744 Day Canyon Suite 501,Madison,AL,35758,-86.853805,34.85854,VBaOAYJULn
102,8314 Michael Shores,Auburn,AL,36832,-85.539825,32.616696,BDdkCoairl
103,959 Edward Courts,Florence,AL,35630,-87.620159,34.874602,lWBeqLoRxv
104,24142 Kelly Vista Suite 609,Madison,AL,35757,-86.835823,34.859351,aOLtvsOTSW
105,8944 Dixon Track,Springville,AL,35146,-86.410042,33.81892,ErMByWiOVj
106,2370 Janice Fields Suite 543,Jacksonville,AL,36265,-85.875468,33.838328,DxxIoTcpow
107,046 Doyle Streets Suite 903,Phenix City,AL,36867,-85.061273,32.575977,JOLJhXwEGF
108,7777 Elizabeth Crescent Suite 494,Centre,AL,35960,-85.727217,34.248634,TnRtqrQHnL
109,4472 Walters Creek,Oneonta,AL,35121,-86.458536,34.075644,zqkjIycdps
110,380 Whitehead Lodge Apt. 230,Theodore,AL,36582,-88.243444,30.620124,XOwjdYgEkL
111,1611 Green Mountains,Roanoke,AL,36274,-85.48181,33.216108,DXrpxuUJIO
112,61334 Justin Greens,Huntsville,AL,35810,-86.613486,34.865073,mpLnZADnvt
113,815 Thomas Brook Suite 604,Tallassee,AL,36078,-85.936621,32.637705,XHMoYameVh
114,5832 Robin Loaf,Pell City,AL,35125,-86.320248,33.670157,LKorrwYJvh
115,89014 Amanda Tunnel Apt. 503,Huntsville,AL,35810,-86.680548,34.85284,EbOYNEADhI
116,1341 Hannah Neck Apt. 932,Birmingham,AL,35235,-86.62352,33.641252,tADJfMPCbg
117,6000 Trevino Pines,Selma,AL,36703,-87.069448,32.441565,uzcJYTaFEM
118,8104 Beth Lane,Opelika,AL,36801,-85.480119,32.613659,CiWePvneIi
119,133 Jorge Village,Muscle Shoals,AL,35661,-87.734664,34.711926,xIvOHHydlP
120,521 Torres Glens,Auburn,AL,36832,-85.531638,32.644022,WLJXcJnzYv
121,44993 Jonathan Cliffs Apt. 165,Sylacauga,AL,35150,-86.351634,33.232173,XUxpZlVPAj
122,292 Murray Stravenue,Huntsville,AL,35810,-86.678789,34.84447,NqluAvNPMl
123,3755 Harrell Lock Suite 863,Auburn,AL,36832,-85.547563,32.629001,ibxIKmZIfQ
124,22181 Victor Rapid,Florence,AL,35630,-87.646257,34.812311,eVhAnyzYOj
125,640 Christopher Fort,Mobile,AL,36606,-88.118441,30.747997,djUawIBXKu
126,3985 Smith Park Suite 016,Madison,AL,35758,-86.780645,34.847749,NUvFdjZZnS
127,76213 Daniel Mission,Helena,AL,35080,-86.963731,33.365149,pRggenYnSe
128,12370 Alvarado Heights,Jacksonville,AL,36265,-85.853274,33.829559,WGfhIjaVHk
129,1518 Mason Plains,Alexander City,AL,35010,-86.07065,32.969962,snozlrLUEr
130,6738 Amanda Cape,Mobile,AL,36619,-88.276355,30.650806,vMSFNJzwWB
131,853 Lloyd Passage Suite 006,Guntersville,AL,35976,-86.37588,34.363642,aFIjVPyLyj
132,70744 White Grove Suite 907,Auburn,AL,36830,-85.534777,32.638081,YUOvTbvEoA
133,18129 Destiny Circle Apt. 759,Gulf Shores,AL,36542,-87.723593,30.362708,tzrvpMDxVZ
134,4084 Best Shoals,Calera,AL,35040,-86.879252,33.183661,TgGgZOvRPi
135,73414 Linda Loaf Suite 040,Madison,AL,35758,-86.718361,34.848958,LJwENZkRAA
136,7060 Christopher Skyway Suite 537,Vestavia Hills,AL,35216,-86.870214,33.450235,pNeNFecWLO
137,47552 Patrick Circle,Andalusia,AL,36420,-86.42908,31.319691,VReRyPrgEr
138,440 Rick Alley Suite 555,Hoover,AL,35244,-86.879195,33.487894,hoDnWIXcNT
139,172 Norris Terrace,Moulton,AL,35650,-87.377911,34.571762,wArmQAugIX
140,9323 Joshua Passage Apt. 867,Scottsboro,AL,35768,-86.040738,34.788284,GJkeCJflvB
141,348 Ellis Neck Suite 574,Auburn,AL,36832,-85.56993,32.674071,inRaHrJdPp
142,154 Saunders Track Apt. 990,Madison,AL,35758,-86.847788,34.820817,uEuaxBFEad
143,62275 Smith Drive Apt. 150,Hartselle,AL,35640,-86.911005,34.579687,ppYmYLMwmT
144,31808 Wiggins Island,Boaz,AL,35957,-86.242965,34.276196,APHVaySRNk
145,17151 Ward Grove Apt. 224,Montgomery,AL,36117,-86.270496,32.422207,UHHScTyfgR
146,640 Barnes Ways,Jackson,AL,36545,-87.980279,31.616689,IqnivsnXDw
147,387 Burton Rapid Suite 502,Brewton,AL,36426,-87.114894,31.160852,WPJbHJsVtW
148,7274 Scott Lakes,Chelsea,AL,35043,-86.637918,33.351961,QobYfboNno
149,43220 Morris Junctions,Greenville,AL,36037,-86.623363,31.843558,kXijatOSqT
150,2304 Wilson Junction,Brent,AL,35034,-87.251186,33.044885,IPAZjQoNNn
151,162 Stacy Loaf Apt. 988,Springville,AL,35146,-86.479614,33.846604,gnSnCxEscr
152,2384 Michael Crescent,Tallassee,AL,36078,-85.931137,32.671101,nmHataGNUO
153,256 Denise Corner,Anniston,AL,36206,-85.852261,33.72259,YTzJGFXDva
154,96701 Carter Village Apt. 523,Boaz,AL,35957,-86.263858,34.248067,JCEfyLtZfN
155,950 Collin Springs,Winfield,AL,35594,-87.837263,33.984681,WYVLyyHEQA
156,650 Black Causeway,Huntsville,AL,35810,-86.611209,34.858474,GZCgIUWkvy
157,05372 Robert Station Suite 991,Mobile,AL,36619,-88.259075,30.681458,wGxXASTCev
158,9870 Chase Burgs,Haleyville,AL,35565,-87.646787,34.265389,nqPBkmIRxu
159,6916 Jacob Club,Opelika,AL,36801,-85.484628,32.652294,qtanKjwRxF
160,061 Stephen Vista Suite 268,Madison,AL,35758,-86.747943,34.737511,aQHPThlRrR
161,23415 Gomez Freeway,Bessemer,AL,35022,-87.014533,33.45959,AlbaOolhLI
162,45155 Miguel Radial,Dothan,AL,36301,-85.463862,31.237353,puHXfxGEfJ
163,1375 Hudson Spurs Suite 371,Ozark,AL,36360,-85.717057,31.419199,KTujddutJW
164,1129 Hawkins Squares,Greenville,AL,36037,-86.611338,31.853949,ifLoMQcloX
165,59334 Cheryl Trafficway Suite 149,Birmingham,AL,35214,-86.925858,33.638976,HlfgPOpSpN
166,453 Toni Knoll Apt. 327,Fayette,AL,35555,-87.876902,33.756901,LzfGJgLSGZ
167,349 Strong Canyon Apt. 387,Montgomery,AL,36107,-86.366859,32.466017,vFPegpKdLq
168,37812 Knapp Rapid,Auburn,AL,36830,-85.582159,32.638926,ugAuAxpYal
169,990 Maria Tunnel Apt. 913,Madison,AL,35758,-86.75549,34.725607,NkTvzxikeI
170,942 Alexander Alley Suite 621,Wetumpka,AL,36092,-86.261209,32.539246,OrIftJTIKI
171,7425 Martin Springs Apt. 105,Winfield,AL,35594,-87.871493,33.927448,PfxdnwYjuh
172,081 Charles Brooks,Tuscaloosa,AL,35405,-87.544419,33.226935,LYsxUkOZww
173,36219 Kramer Square,Bay Minette,AL,36507,-87.828054,30.924123,QtyGLaggNz
174,434 Johnson Park,Northport,AL,35476,-87.638244,33.287113,EYZitdhLgk
175,16451 Gomez Keys,Mobile,AL,36695,-88.279959,30.752632,jElsOYWgqs
176,0876 Jones Hill Apt. 864,Calera,AL,35040,-86.86033,33.175768,MzdydVQJlB
177,6476 Tracy Estate,Hueytown,AL,35023,-87.027221,33.523928,NRXlOHIhrd
178,50276 Sarah Rapid Suite 204,Florence,AL,35630,-87.674837,34.865663,OSgHUSlEiN
179,6362 Diane Cliffs,Centre,AL,35960,-85.714547,34.28622,bKglkjScaW
180,444 Jennifer Mountains,Huntsville,AL,35802,-86.532968,34.649624,qrGpvdbFoH
181,5548 Tran Summit,Montgomery,AL,36116,-86.248812,32.340636,wxxtwEnyby
182,59304 Samantha Manors,Muscle Shoals,AL,35661,-87.743839,34.73929,DugTozVGFc
183,9960 Cesar Ports,Springville,AL,35146,-86.474015,33.885542,vvBcGVuttq
184,072 Villanueva Groves Suite 272,Huntsville,AL,35805,-86.675915,34.784325,qSuCzFAxVE
185,4226 Mary Square,Greenville,AL,36037,-86.674517,31.878456,TXyednnRYp
186,15121 Russell Stream,Huntsville,AL,35803,-86.62551,34.666506,vXOKlHKeYH
187,741 Donna Highway,Decatur,AL,35603,-87.021703,34.626621,dtRoZSMjNE
188,939 Parks Squares Apt. 588,Huntsville,AL,35810,-86.634294,34.853959,TtaDcqTSSP
189,407 Patrick Harbor Suite 439,Birmingham,AL,35244,-86.732201,33.425986,rIXymwUrRj
190,58149 Dawn Ridge,Thomasville,AL,36784,-87.726247,31.918124,FaCAUfJEcJ
191,011 Grace Locks Apt. 060,Vestavia Hills,AL,35216,-86.871733,33.469616,rdhIKlMNxx
192,7324 Susan Trace Suite 585,Vestavia Hills,AL,35216,-86.858976,33.43171,TqBcPFiTbl
193,4776 Clay Drive Suite 645,Huntsville,AL,35802,-86.528733,34.645254,QECdFNUwbe
194,47672 Patricia Alley Suite 385,Huntsville,AL,35801,-86.675554,34.747203,ArFUpTFZDv
195,992 Soto Hollow Apt. 607,Attalla,AL,35954,-86.119588,34.037744,RTDZjcYKWR
196,01478 Perez Corner Suite 076,Montgomery,AL,36109,-86.35336,32.458756,MPfjIbANcQ
197,53071 Perry Light,Tuscaloosa,AL,35405,-87.566391,33.225489,lVkIMJKCFo
198,39183 Bowen Way,Enterprise,AL,36330,-85.821638,31.367999,zMDBxbOXma
199,96995 William Mountain Apt. 481,Jasper,AL,35501,-87.37163,33.8703,GynTBNRogT
200,21702 Jessica Pines,Nashville,AR,71852,-93.959383,33.940873,bLUUHKrhhR
201,52290 Torres Islands Suite 145,West Helena,AR,72390,-90.744829,34.689045,HeClbsalMo
202,376 Amanda Parkways,Fort Smith,AR,72903,-94.484141,35.440973,wiYfXspBke
203,402 Wallace Land,Ozark,AR,72949,-93.863073,35.513697,xWsFBPwAev
204,76085 Catherine Trafficway,Paragould,AR,72450,-90.516536,36.152434,kZLmvPqCCn
205,814 Rebekah Field,Hot Springs,AR,71901,-93.075595,34.551396,upuftdttTZ
206,7931 Gallegos Streets,Jonesboro,AR,72404,-90.78471,35.813989,ndLzAcCtli
207,790 Spencer Plaza,West Memphis,AR,72301,-90.268614,35.288041,CKtyTZAdpk
208,51216 Brooke Isle Apt. 673,Clinton,AR,72031,-92.527047,35.646311,BKaRptaFPB
209,3013 Hudson Ranch,Hope,AR,71801,-93.63536,33.727185,SzqSTnmjvW
210,53192 Tonya Landing,Bentonville,AR,72712,-94.28945,36.486671,pVrrGkscMp
211,9626 Lee Springs,Rogers,AR,72758,-94.275666,36.327673,eVSgNoZmAh
212,411 Pena Square,Rogers,AR,72758,-94.238804,36.32591,wFVGWguUbr
213,8054 Wayne Ford Suite 604,Springdale,AR,72762,-94.273781,36.212551,IIVTwIncXh
214,3217 Jackson Brook,Clinton,AR,72031,-92.549052,35.617403,ekPSHpXqpx
215,616 Parker Rest Apt. 466,Springdale,AR,72762,-94.273036,36.285974,SHUatSkrTK
216,950 Lisa Valleys Suite 761,Siloam Springs,AR,72761,-94.643415,36.216269,DiFNbcMbdN
217,729 Bryan Key,Fordyce,AR,71742,-92.486178,33.887135,XsKRDBvFEF
218,96976 Barbara Loop Apt. 257,Fayetteville,AR,72704,-94.24565,36.172945,StcAKlEWmv
219,8368 Dillon Avenue Suite 422,Centerton,AR,72712,-94.388098,36.463408,SXwAFVwNFH
220,12869 Rebecca Court,Ash Flat,AR,72513,-91.651514,36.274178,pyeVnWObTl
221,4949 Dylan Valley Suite 230,Springdale,AR,72762,-94.265043,36.250484,PGLnvBDsfj
222,39280 Valerie Walks Suite 166,Wynne,AR,72396,-90.861604,35.322642,OxRlORaAtR
223,7728 Curtis Ford Suite 574,Forrest City,AR,72335,-90.887485,35.062029,xAFhwENanP
224,580 Graves Parkway Apt. 075,Fort Smith,AR,72904,-94.484795,35.44349,OdYuenJBSl
225,620 Dustin Trace Apt. 430,Osceola,AR,72370,-90.012397,35.782799,bXpwekATVz
226,823 Castillo Garden Suite 360,Pine Bluff,AR,71603,-92.021998,34.25477,rAZhXZOelv
227,3919 David Dam Suite 261,Huntsville,AR,72740,-93.737475,36.120973,JtGdSPFTrr
228,00786 James Falls Apt. 133,Springdale,AR,72764,-94.170148,36.258875,QjcTPwZGKc
229,74404 Scott Plains Apt. 364,Fayetteville,AR,72704,-94.226363,36.141614,ZVobPNiuNX
230,7508 Bridget Crossing,Jacksonville,AR,72076,-92.123079,34.987496,ucmbUVRNNp
231,09934 Garcia Ways Apt. 778,Ashdown,AR,71822,-94.136861,33.730283,KWQHqSWmHZ
232,2632 Andrew Corners Suite 248,Rogers,AR,72756,-94.128101,36.318922,IdqWyWVYrv
233,267 Flores Prairie Apt. 216,Nashville,AR,71852,-93.956997,33.983605,EwOCAAwsRO
234,54358 Rodney Corners,Fayetteville,AR,72703,-94.156029,36.131984,zIBmnaxkHc
235,6804 Cheyenne Ports,Booneville,AR,72927,-93.922566,35.164781,eBYykMqqCb
236,11661 Duke Locks,Forrest City,AR,72335,-90.825017,35.078843,GEhiPrbLdI
237,2185 Jonathan Estates,Ozark,AR,72949,-93.829488,35.579631,MEPSmQrwaw
238,9025 Christina Cove,Cabot,AR,72023,-92.021385,35.019313,ZiUudOiLpf
239,899 Johnny Estates,Camden,AR,71701,-92.888001,33.676886,arQNZnggbK
240,957 Clark Crossroad,Flippin,AR,72634,-92.651967,36.336451,srzLHehfix
241,6973 Michael Terrace,Huntsville,AR,72740,-93.729674,36.159244,EJyFtYHCqY
242,645 Denise Spur Suite 095,Morrilton,AR,72110,-92.733257,35.25917,BYBPUZKoXG
243,9328 Katherine Lake Apt. 690,Rogers,AR,72758,-94.235676,36.369466,DDqBRqmbIM
244,7605 Reilly Hills Suite 075,Monticello,AR,71655,-91.884651,33.653471,HTxDQHsDjY
245,22898 Jorge Overpass,Bentonville,AR,72712,-94.266965,36.455113,UJdifpSNYj
246,98432 Martin Corners,Mena,AR,71953,-94.285438,34.666082,fNKMjGduix
247,530 Edwards Lights Suite 592,Crossett,AR,71635,-91.975528,33.115995,lFOoQaSuJd
248,96443 Mary Ville Suite 953,Springdale,AR,72762,-94.260867,36.261419,rmQOCPxBNO
249,58098 Amanda Path,Bentonville,AR,72712,-94.26753,36.438417,FqIJUhhoey
250,78593 Brandon Highway Suite 336,Fordyce,AR,71742,-92.456086,33.850373,LVlkTzPLxh
251,515 Gaines Loop Apt. 629,Farmington,AR,72730,-94.3627,36.039183,NdJjfGYtRF
252,9174 Byrd Mission,Mena,AR,71953,-94.25626,34.648575,RfqWQbsmRM
253,7048 Joel Loaf Apt. 505,Fayetteville,AR,72701,-94.264948,36.168508,KyFAwcbhrS
254,967 Martinez Mountain Suite 971,Springdale,AR,72762,-94.21475,36.215818,hPAkLxfsFi
255,3958 Rowe Port Suite 249,Springdale,AR,72762,-94.269553,36.276717,nAWHUDcSMs
256,661 Maxwell Lodge Suite 172,Cabot,AR,72023,-92.035827,35.071777,xCKOarLvWI
257,21699 Rachael Port Suite 844,West Helena,AR,72390,-90.748491,34.652214,hKjBYhKSAO
258,00519 Lisa Oval,Malvern,AR,72104,-92.852605,34.478416,dQobsZinAS
259,4273 Karen Union,Fort Smith,AR,72908,-94.475712,35.334423,OehdtjXhbT
260,13429 Valerie Key Suite 576,Little Rock,AR,72209,-92.412797,34.744425,vwRcQtwKcG
261,329 Joseph Ridge,Ashdown,AR,71822,-94.147393,33.772786,UIQzJIlklb
262,282 Patton Port,Springdale,AR,72764,-94.133963,36.280313,YgAddXnIzl
263,933 Karen Islands,Bentonville,AR,72712,-94.217381,36.420417,kDQEkeHRea
264,405 Angela Pine,West Memphis,AR,72301,-90.226269,35.224704,ciSGiUfqnq
265,11807 Romero Knolls Apt. 764,Farmington,AR,72730,-94.334707,36.06045,hHdQxMfCfA
266,57036 Frank Loop,Siloam Springs,AR,72761,-94.562772,36.232072,UUJJiPlGBN
267,619 Taylor Corner,Conway,AR,72034,-92.5617,35.11042,eAqlivYSjv
268,412 John Center Apt. 591,Jonesboro,AR,72404,-90.714626,35.823777,xybmjyEYxu
269,646 Barker Ford,Fayetteville,AR,72701,-94.242629,36.188401,HSiXvUMiqs
270,697 Carr Ramp Apt. 375,Sherwood,AR,72120,-92.226717,34.816123,zXOoNSMuBU
271,85050 Jordan Vista,Conway,AR,72032,-92.440315,35.139914,SWxsheDEJh
272,35003 Sarah Drive,Springdale,AR,72762,-94.261415,36.249853,QHaolSgtcE
273,541 Curry Radial,Centerton,AR,72712,-94.35111,36.482475,YnbEIiTTCB
274,126 Lane Circle Suite 481,Fayetteville,AR,72704,-94.242169,36.115635,AOMmFpiFwe
275,1563 Morris Junction Apt. 851,Little Rock,AR,72223,-92.584978,34.832395,lbhkmiIxqD
276,506 Jeremy Gateway Suite 558,Camden,AR,71701,-92.862543,33.688985,sNQSOCyNdl
277,64659 Johnston Alley,Springdale,AR,72764,-94.13792,36.282589,VzzSPvWYKz
278,41744 Maurice Park,Sheridan,AR,72150,-92.488607,34.320847,baXTljvSyN
279,61664 Marquez Prairie,Flippin,AR,72634,-92.649713,36.368596,wuvkTGQBiI
280,51447 Evans Road Suite 821,Magnolia,AR,71753,-93.271748,33.324652,fQxEydQgNv
281,51124 Michael Ways,Monticello,AR,71655,-91.84702,33.645938,xAPjsgscbr
282,93367 Sarah Trace Apt. 092,Fayetteville,AR,72703,-94.235703,36.118116,DxOcRbiXQb
283,02742 Lawrence Turnpike,Hot Springs,AR,71913,-93.111403,34.525651,vHuylKytBd
284,8701 Singleton Drives,Mountain Home,AR,72653,-92.332125,36.476263,LEANywmyUj
285,355 Phillip Circle Suite 466,Clarksville,AR,72830,-93.524745,35.462511,FazkvSTCmR
286,3973 Murray Underpass,Searcy,AR,72143,-91.736862,35.243675,oKKZNStspo
287,26082 Tiffany Vista Suite 629,De Queen,AR,71832,-94.347515,34.02755,KPErmTiPYf
288,1108 Laura Fords Apt. 763,Bentonville,AR,72712,-94.254827,36.438746,zltYocKmrA
